,obsid,fitsname,snrg,snrr,teff,teff_err,logg,logg_err,feh,feh_err,rv,rv_err,ra_obs,dec_obs,gaia_source_id,gaia_g_mean_mag,figname,R_mean,R_mean_err,V_mean,V_mean_err,H_mean_tri,H_mean_tri_err,K_mean_tri,K_mean_tri_err,S_tri,S_tri_err,S_MWL,S_MWL_err,H_mean_rec,H_mean_rec_err,K_mean_rec,K_mean_rec_err,S_rec,S_rec_err,condition_tag
0,102084,spec-55859-F5902_sp02-084.fits,54.8,78.63,5888.25,36.75,4.109,0.052,-0.992,0.032,3.01,4.94,330.467014,-1.221977,2.676826895374928e+18,15.092938,CaIIHK_obsid-000102084_spec-55859-F5902_sp02-084.png,474.825893,3.417496,413.13501,3.924676,96.051542,10.950218,86.032229,10.771137,0.205058,0.01734,0.16093,0.013608,92.458774,14.023192,85.078057,13.665033,0.199938,0.022082, 
1,103019,spec-55859-F5902_sp03-019.fits,66.33,99.07,5849.92,32.81,4.093,0.046,-0.426,0.028,-7.89,4.38,331.485364,-0.001339,2.6804012015183775e+18,15.172085,CaIIHK_obsid-000103019_spec-55859-F5902_sp03-019.png,362.431557,2.580005,295.795532,3.054191,73.630759,7.762131,64.815789,9.919139,0.210332,0.019178,0.165069,0.015051,71.747578,9.939946,63.86999,12.683447,0.206035,0.024513, 
2,103025,spec-55859-F5902_sp03-025.fits,55.4,84.64,5911.97,33.92,4.181,0.048,-0.641,0.029,-11.45,4.56,331.620255,-0.174829,2.6803833000946657e+18,15.252126,CaIIHK_obsid-000103025_spec-55859-F5902_sp03-025.png,331.941471,2.806877,280.395409,3.364427,85.517672,8.734462,79.677213,9.893015,0.269778,0.021638,0.211722,0.016982,84.587978,11.137407,80.026398,12.654031,0.26883,0.027596, 
3,103032,spec-55859-F5902_sp03-032.fits,387.09,455.38,5907.95,19.37,4.187,0.024,0.068,0.011,-38.84,3.53,331.08347,0.0381,-9999.0,-9999.0,CaIIHK_obsid-000103032_spec-55859-F5902_sp03-032.png,12386.905492,11.271185,10342.02899,12.110351,2784.00708,20.74045,2447.077241,20.759279,0.230151,0.001302,0.180622,0.001022,2753.03574,26.467874,2416.492035,26.507067,0.227443,0.001656, 
4,103110,spec-55859-F5902_sp03-110.fits,53.28,76.25,5670.32,40.35,4.171,0.058,-0.37,0.035,-29.85,5.43,331.024811,0.868111,2.682194539342975e+18,15.545276,CaIIHK_obsid-000103110_spec-55859-F5902_sp03-110.png,302.069815,2.707423,240.208776,3.300551,59.168672,17.20672,59.282562,10.556849,0.218432,0.037266,0.171426,0.029246,61.286395,21.950755,58.557414,13.470435,0.221,0.047525, 
5,103148,spec-55859-F5902_sp03-148.fits,70.65,89.69,5727.1,36.66,4.116,0.052,-0.362,0.031,-58.45,4.9,331.681289,0.890209,2.6820218129382794e+18,15.285633,CaIIHK_obsid-000103148_spec-55859-F5902_sp03-148.png,437.290097,2.683436,351.653324,3.131129,103.766825,7.767821,96.554583,8.381317,0.253911,0.014545,0.199269,0.011415,101.663776,9.915094,95.496652,10.753563,0.249904,0.018586, 
6,103164,spec-55859-F5902_sp03-164.fits,51.78,82.66,5590.87,39.89,4.344,0.057,-0.006,0.034,-9.32,5.39,331.15277,0.53151,2.6804853485177795e+18,14.956109,CaIIHK_obsid-000103164_spec-55859-F5902_sp03-164.png,364.603658,3.753428,255.029589,4.517354,76.270308,13.656649,65.833745,14.033957,0.229336,0.031677,0.179983,0.02486,72.443344,17.527955,62.337203,17.941386,0.217517,0.040532, 
7,103204,spec-55859-F5902_sp03-204.fits,50.82,75.68,5396.39,41.19,4.474,0.059,-0.157,0.036,-26.61,5.57,331.179169,0.810519,2.682182169837148e+18,15.484592,CaIIHK_obsid-000103204_spec-55859-F5902_sp03-204.png,231.939818,2.588033,176.056293,3.451857,57.978561,7.814972,50.321051,9.819827,0.265443,0.030888,0.208319,0.024241,54.917174,9.991439,48.181696,12.593354,0.252696,0.039492, 
8,103224,spec-55859-F5902_sp03-224.fits,65.84,91.84,5596.04,40.2,4.472,0.057,-0.108,0.034,-28.96,5.36,331.357127,0.99307,2.682192129865818e+18,15.125038,CaIIHK_obsid-000103224_spec-55859-F5902_sp03-224.png,426.122704,3.124967,333.892295,3.760371,97.219902,10.042539,90.913979,9.747357,0.24754,0.018483,0.194269,0.014505,94.351905,12.875518,89.783943,12.44067,0.242279,0.023609, 
9,103232,spec-55859-F5902_sp03-232.fits,94.11,118.57,6363.58,31.64,4.231,0.044,-0.525,0.026,10.2,4.44,330.9094528,-0.17471,2.6804184458115267e+18,14.788802,CaIIHK_obsid-000103232_spec-55859-F5902_sp03-232.png,844.155934,3.570504,731.551432,4.156455,224.676156,8.676165,188.028026,10.994008,0.261917,0.008935,0.205552,0.007012,220.15926,11.052045,185.047096,14.048292,0.257158,0.011379, 
