,indice_i,indice_j,sln_1,sln_2
0,0,0,,
1,0,3,,
2,0,4,,
3,0,5,,
4,0,6,,
5,0,8,,
6,0,11,,
7,0,16,,
8,0,17,,
9,0,18,,
10,0,19,,
11,0,22,,
12,0,23,,
13,0,24,,
14,0,25,,
15,0,30,,
16,0,33,,
17,0,37,,
18,0,39,,
19,0,45,,
20,0,63,,
21,0,64,,
22,0,65,,
23,0,67,,
24,0,68,,
25,0,69,,
26,0,71,,
27,0,72,,
28,0,76,,
29,0,79,,
30,0,81,,
31,0,87,,
32,0,88,,
33,0,89,,
34,0,96,,
35,0,98,,
36,0,100,,
37,0,101,,
38,0,102,,
39,0,115,,
40,0,116,,
41,0,117,,
42,0,118,,
43,0,119,,
44,0,120,,
45,0,121,,
46,0,124,,
47,0,125,,
48,0,126,,
49,0,127,,
50,0,128,,
51,0,129,,
52,0,130,,
53,0,131,,
54,0,132,,
55,0,135,,
56,0,138,,
57,0,140,,
58,0,153,,
59,0,154,,
60,0,155,,
61,0,156,,
62,0,157,,
63,0,158,,
64,0,159,,
65,0,162,,
66,0,165,,
67,0,166,,
68,0,168,,
69,0,170,,
70,0,171,,
71,0,172,,
72,0,173,,
73,0,174,,
74,0,175,,
75,0,176,,
76,0,177,,
77,0,183,,
78,0,185,,
79,0,187,,
80,0,188,,
81,0,189,,
82,0,190,,
83,0,191,,
84,0,192,,
85,0,197,,
86,0,198,,
87,0,199,,
88,0,200,,
89,0,201,,
90,0,204,,
91,1,1,,
92,1,5,,
93,1,6,,
94,1,10,,
95,1,11,,
96,1,12,,
97,1,13,,
98,1,16,,
99,1,24,,
100,1,37,,
101,1,38,,
102,1,41,,
103,1,43,,
104,1,47,,
105,1,49,,
106,1,63,,
107,1,64,,
108,1,67,,
109,1,68,,
110,1,69,,
111,1,71,,
112,1,76,,
113,1,80,,
114,1,82,,
115,1,94,,
116,1,97,,
117,1,99,,
118,1,100,,
119,1,102,,
120,1,105,,
121,1,107,,
122,1,114,,
123,1,115,,
124,1,116,,
125,1,117,,
126,1,118,,
127,1,119,,
128,1,120,,
129,1,121,,
